Block Size,Step,Average A Bits,Average N Bits,Average D Bits,Average A PSNR,Average N PSNR,Average D PSNR
4,1,29.882813332003156,26.291713558563316,21.633089308064022,58.92387147370777,58.92387147370777,58.92387147370777
4,2,30.26479853943941,21.702104308346254,17.888267619964722,52.905963849726405,52.905963849726405,52.905963849726405
4,4,29.039766969259347,15.880264016817678,13.25640050682862,46.90820391899181,46.90820391899181,46.90820391899181
4,8,22.824612138188566,10.161444553584243,8.37218463177213,41.07687660319201,41.07687660319201,41.07687660319201
4,12,17.048757644820242,7.403221981935112,5.973315446276604,37.96431417507171,37.96431417507171,37.96431417507171
4,16,13.087845618144295,5.798114104668795,4.6075586075297785,35.985198733649966,35.985198733649966,35.985198733649966
4,20,10.477383586468964,4.749667173487804,3.739223332610265,34.58542355647374,34.58542355647374,34.58542355647374
4,24,8.713338635335552,4.0292134561629265,3.1542755949630905,33.51607284443918,33.51607284443918,33.51607284443918
4,32,6.4743072431357795,3.105004040466838,2.4264400720943624,31.932339776322397,31.932339776322397,31.932339776322397
4,40,5.101199212353044,2.5389646776452603,1.9974314391524548,30.766849139738788,30.766849139738788,30.766849139738788
4,52,3.8345245631318874,2.0352989457304873,1.629549991533031,29.457566810522046,29.457566810522046,29.457566810522046
4,64,3.0290367551746424,1.7266708853756423,1.417322790376361,28.453838406672457,28.453838406672457,28.453838406672457
4,78,2.4072097953350085,1.4858660194438418,1.2618401950197164,27.52408855268564,27.52408855268564,27.52408855268564
4,90,2.0406920403420497,1.3457483527003795,1.173099086880305,26.852553661220746,26.852553661220746,26.852553661220746
4,128,1.402559033403175,1.1039563133570842,1.0237962006706467,25.136639291323817,25.136639291323817,25.136639291323817
4,256,0.8375274924002079,0.8268240763569118,0.8210344986628473,20.844489018922122,20.844489018922122,20.844489018922122
8,1,30.312173706071494,25.952617247322692,20.707056424802374,58.9231552104486,58.9231552104486,58.9231552104486
8,2,30.138916602766955,21.086354533823492,17.025266154040036,52.90377519938293,52.90377519938293,52.90377519938293
8,4,26.484615017743604,15.072128005760009,12.423319749898413,46.91562373659866,46.91562373659866,46.91562373659866
8,8,18.04803721740719,9.470364452240963,7.778624768953863,41.27030578715589,41.27030578715589,41.27030578715589
8,12,12.58683886241192,6.812534884866614,5.492962809637734,38.39266951378126,38.39266951378126,38.39266951378126
8,16,9.390872483854125,5.274850700233495,4.1853590673832715,36.58464630326763,36.58464630326763,36.58464630326763
8,20,7.437923515382334,4.2733450498081105,3.349698460313369,35.30146387169287,35.30146387169287,35.30146387169287
8,24,6.1608024778986294,3.5765886115730505,2.77625332184055,34.317269941225284,34.317269941225284,34.317269941225284
8,32,4.601591700417647,2.6702545219169935,2.0430973328878963,32.857380343574235,32.857380343574235,32.857380343574235
8,40,3.674005821279732,2.1102339004425827,1.598128109675361,31.786079467938244,31.786079467938244,31.786079467938244
8,52,2.8087338722193524,1.5902262111553245,1.1890562320090934,30.580647148855938,30.580647148855938,30.580647148855938
8,64,2.2549722318201155,1.2646863871672842,0.93773701762263,29.657547631664976,29.657547631664976,29.657547631664976
8,78,1.8165102194465577,1.0131622148962771,0.7486281321753916,28.797805463571258,28.797805463571258,28.797805463571258
8,90,1.5475601382051754,0.8637494432504902,0.6386446610008485,28.185209574375175,28.185209574375175,28.185209574375175
8,128,1.0247058415578145,0.5900264378164803,0.44617834455660293,26.69900131080659,26.69900131080659,26.69900131080659
8,256,0.4363129620712327,0.31678992680925216,0.2748999870835236,23.764422081243918,23.764422081243918,23.764422081243918
16,1,30.266133503847282,26.134441733842255,20.404665821802677,58.92369267857512,58.92369267857512,58.92369267857512
16,2,27.76996480456563,21.044820981115798,16.75286843968404,52.91437121225883,52.91437121225883,52.91437121225883
16,4,20.89037026746084,14.789726833918015,12.08441899253953,47.01000154622413,47.01000154622413,47.01000154622413
16,8,12.456505757595107,9.085010681622997,7.5337371069494345,41.53889788517533,41.53889788517533,41.53889788517533
16,12,8.490925305621674,6.478582989595335,5.364704712628599,38.71398305140093,38.71398305140093,38.71398305140093
16,16,6.3661824877043784,4.994536274369749,4.116565599821077,36.90634002179984,36.90634002179984,36.90634002179984
16,20,5.079307501801966,4.040689391959398,3.3131193806734727,35.608626876981305,35.608626876981305,35.608626876981305
16,24,4.225962162467278,3.3775069045916783,2.756337865845728,34.609142734935304,34.609142734935304,34.609142734935304
16,32,3.162225085817137,2.5176162895283736,2.0368353218834176,33.12652173738901,33.12652173738901,33.12652173738901
16,40,2.5239173753989266,1.9850159447224187,1.5951929161599483,32.04293531189762,32.04293531189762,32.04293531189762
16,52,1.927080374710235,1.4858562338943828,1.183376236758227,30.827600685644832,30.827600685644832,30.827600685644832
16,64,1.5482865132572312,1.1707246435035679,0.9246172217366231,29.90510883387457,29.90510883387457,29.90510883387457
16,78,1.2511110470212485,0.9251282698127358,0.7239359814092515,29.054667130704864,29.054667130704864,29.054667130704864
16,90,1.067287794692888,0.7762785712514247,0.6028710487898294,28.45812078624773,28.45812078624773,28.45812078624773
16,128,0.7119831122962499,0.4944668665447438,0.37467176607509356,27.062318573402937,27.062318573402937,27.062318573402937
16,256,0.30743709614268677,0.1963942719074269,0.1425497348867968,24.642674510003978,24.642674510003978,24.642674510003978
